index,symbol,date,field,method,repaired_value,confidence,note
973,FUT6,2023-05-18 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7732.50, no clean past neighbors"
985,FUT6,2023-05-19 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7635.00, no clean past neighbors"
997,FUT6,2023-05-22 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7532.50, no clean past neighbors"
1009,FUT6,2023-05-23 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7572.50, no clean past neighbors"
1032,FUT6,2023-05-25 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7432.50, no clean past neighbors"
1044,FUT6,2023-05-26 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7475.00, no clean past neighbors"
1068,FUT6,2023-05-31 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7660.00, no clean past neighbors"
1079,FUT6,2023-06-01 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7620.00, no clean past neighbors"
1091,FUT6,2023-06-02 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7742.50, no clean past neighbors"
1115,FUT6,2023-06-06 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7990.00, no clean past neighbors"
1127,FUT6,2023-06-07 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8095.00, no clean past neighbors"
1139,FUT6,2023-06-08 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7767.50, no clean past neighbors"
1151,FUT6,2023-06-09 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7857.50, no clean past neighbors"
1163,FUT6,2023-06-12 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7870.00, no clean past neighbors"
1175,FUT6,2023-06-13 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 7945.00, no clean past neighbors"
1187,FUT6,2023-06-14 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8120.00, no clean past neighbors"
1199,FUT6,2023-06-15 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8160.00, no clean past neighbors"
1210,FUT6,2023-06-16 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8580.00, no clean past neighbors"
1222,FUT6,2023-06-20 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8600.00, no clean past neighbors"
1234,FUT6,2023-06-21 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8690.00, no clean past neighbors"
1246,FUT6,2023-06-22 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8567.50, no clean past neighbors"
1258,FUT6,2023-06-23 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8665.00, no clean past neighbors"
1270,FUT6,2023-06-26 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8730.00, no clean past neighbors"
1282,FUT6,2023-06-27 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8675.00, no clean past neighbors"
1294,FUT6,2023-06-28 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8630.00, no clean past neighbors"
1306,FUT6,2023-06-29 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8645.00, no clean past neighbors"
1318,FUT6,2023-06-30 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8505.00, no clean past neighbors"
1330,FUT6,2023-07-03 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8470.00, no clean past neighbors"
1342,FUT6,2023-07-05 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8457.50, no clean past neighbors"
1354,FUT6,2023-07-06 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8487.50, no clean past neighbors"
1366,FUT6,2023-07-07 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8530.00, no clean past neighbors"
1378,FUT6,2023-07-10 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8452.50, no clean past neighbors"
1390,FUT6,2023-07-11 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8472.50, no clean past neighbors"
1402,FUT6,2023-07-12 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8342.50, no clean past neighbors"
1414,FUT6,2023-07-13 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8410.00, no clean past neighbors"
1426,FUT6,2023-07-14 00:00:00,Low,local_outlier_global_median_fallback,91.85,low,"Old value: 8385.00, no clean past neighbors"
