Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT3,45030.0,86.0,87.225,85.925,86.8,13977.0,95796.0,2023-04-14
FUT7,45030.0,76.4,76.725,76.05,76.6,1799.0,18937.0,2023-04-14
FUT1,45033.0,71.85,71.925,71.75,71.875,2059.0,16070.0,2023-04-17
FUT2,45033.0,80.8,81.6,80.75,81.25,600.0,3066.0,2023-04-17
FUT3,45033.0,87.35,88.525,86.8,88.125,17188.0,96382.0,2023-04-17
FUT4,45033.0,90.05,91.075,89.675,90.4,5313.0,28431.0,2023-04-17
FUT6,45033.0,8105.0,8197.5,8105.0,8140.000000000001,2738.0,30513.0,2023-04-17
FUT7,45033.0,76.8,77.7,76.8,77.275,1497.0,19305.0,2023-04-17
FUT1,45034.0,80.85,81.1,78.5,78.525,0.0,0.0,2023-04-18
FUT2,45034.0,87.9,88.775,85.625,85.75,22396.0,97649.0,2023-04-18
FUT3,45034.0,90.425,90.95,88.475,88.7,8644.0,28866.0,2023-04-18
FUT5,45034.0,81.3,82.1,80.25,80.475,3036.0,30693.0,2023-04-18
FUT6,45034.0,7752.500000000001,7775.0,7627.500000000001,7650.0,1707.0,19580.0,2023-04-18
FUT7,45034.0,81.475,81.475,80.1,80.275,459.0,7721.0,2023-04-18
FUT8,45034.0,84.825,5665.484018668643,84.175,84.25,41.0,2044.0,2023-04-18
FUT10,45035.0,94.25,94.8,94.25,94.8,7.0,124.0,2023-04-19
FUT2,45035.0,85.75,87.675,84.65,86.425,21519.0,97393.0,2023-04-19
FUT3,45035.0,88.775,90.375,87.875,89.45,6277.0,29638.0,2023-04-19
FUT4,45035.0,89.875,91.325,89.05,90.625,4828.0,2642425.8589181257,2023-04-19
FUT5,45035.0,80.5,81.65,80.05,81.05,3654.0,31011.0,2023-04-19
FUT6,45035.0,7665.000000000001,7755.0,7612.5,7707.5,2059.0,20094.0,2023-04-19
FUT7,45035.0,80.275,81.35,79.925,80.975,505.0,7848.0,2023-04-19
FUT1,45036.0,78.25,78.25,76.75,77.3,733.0,3043.0,2023-04-20
FUT2,45036.0,85.5,85.75,84.65,85.275,223401.704598345,99415.0,2023-04-20
FUT4,45036.0,89.775,90.025,89.1,89.45,3893.0,27978.0,2023-04-20
FUT2,45037.0,85.025,86.825,84.625,86.15,15615.0,99956.0,2023-04-21
FUT5,45037.0,80.25,81.4,79.95,80.75,2965.0,31151.0,2023-04-21
FUT6,45037.0,7650.0,7725.0,7595.0,7675.0,1806.0,20422.0,2023-04-21
FUT7,45037.0,80.55,81.3,79.975,80.825,541.0,8166.0,2023-04-21
FUT8,45037.0,8457.5,8520.0,8400.0,8515.0,57.0,2081.0,2023-04-21
FUT1,45040.0,77.175,78.15,77.05,77.925,460.0,3483.0,2023-04-24
FUT10,45040.0,95.2,95.2,95.2,95.2,3.0,133.0,2023-04-24
FUT2,45040.0,85.95,88.3,85.7,87.325,17633.0,100086.0,2023-04-24
FUT3,45040.0,88.5,90.975,88.5,90.125,4825.0,30186.0,2023-04-24
FUT4,45040.0,89.875,91.925,89.8,91.225,4501.0,28631.0,2023-04-24
